zip,city,area_code,county,state,metro
60132,Citicorp,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60111,Clare,815/779,DeKalb County,Illinois - IL,"Chicago, IL (1600)"
60514,Clarendon Hills,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60514,Clarendon Hls,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60638,Clearing,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60103,Cloverdale,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60685,CNA Center,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60478,Cntry Clb Hls,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60416,Coal City,815/779,Grundy County,Illinois - IL,"Chicago, IL (1600)"
60668,Commonwealth Edison,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60152,Coral,815/779,McHenry County,Illinois - IL,"Chicago, IL (1600)"
60112,Cortland,815/779,DeKalb County,Illinois - IL,"Chicago, IL (1600)"
60478,Country Club Hills,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60525,Countryside,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60639,Cragin,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60403,Crest Hill,708,Will County,Illinois - IL,"Chicago, IL (1600)"
60435,Crest Hill,815/779,Will County,Illinois - IL,"Chicago, IL (1600)"
60435,Cresthill,815/779,Will County,Illinois - IL,"Chicago, IL (1600)"
60445,Crestwood,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60417,Crete,708/464,Will County,Illinois - IL,"Chicago, IL (1600)"
60012,Crystal Lake,815/779,McHenry County,Illinois - IL,"Chicago, IL (1600)"
60014,Crystal Lake,815/779,McHenry County,Illinois - IL,"Chicago, IL (1600)"
60039,Crystal Lake,815/779,McHenry County,Illinois - IL,"Chicago, IL (1600)"
60478,Ctry Clb Hls,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60481,Custer Park,815/779,Will County,Illinois - IL,"Chicago, IL (1600)"
60618,Daniel J Doffyn,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60561,Darien,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60010,Deer Park,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60015,Deerfield,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60115,Dekalb,815/779,DeKalb County,Illinois - IL,"Chicago, IL (1600)"
60016,Des Plaines,847/224,Cook County,Illinois - IL,"Chicago, IL (1600)"
60017,Des Plaines,847/224,Cook County,Illinois - IL,"Chicago, IL (1600)"
60018,Des Plaines,847/224,Cook County,Illinois - IL,"Chicago, IL (1600)"
60019,Des Plaines,847/224,Cook County,Illinois - IL,"Chicago, IL (1600)"
60019,Despl/Rsmt Bus Rply,847/224,Cook County,Illinois - IL,"Chicago, IL (1600)"
60416,Diamond,815/779,Grundy County,Illinois - IL,"Chicago, IL (1600)"
60669,Div of Postal Inspectors,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60406,Dixmoor,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60426,Dixmoor,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60419,Dolton,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60515,Downers Grove,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60516,Downers Grove,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60517,Downers Grove,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60064,Downey,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60432,Downtown Station Joliet,815/779,Will County,Illinois - IL,"Chicago, IL (1600)"
60118,Dundee,847/224,Kane County,Illinois - IL,"Chicago, IL (1600)"
60401,Eagle Lake,708/464,Will County,Illinois - IL,"Chicago, IL (1600)"
60474,East Brooklyn,815/779,Grundy County,Illinois - IL,"Chicago, IL (1600)"
60118,East Dundee,847/224,Kane County,Illinois - IL,"Chicago, IL (1600)"
60429,East Hazel Crest,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60047,Echo Lake,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60416,Eileen,815/779,Grundy County,Illinois - IL,"Chicago, IL (1600)"
60119,Elburn,630/331,Kane County,Illinois - IL,"Chicago, IL (1600)"
60120,Elgin,847/224,Kane County,Illinois - IL,"Chicago, IL (1600)"
60121,Elgin,847/224,Kane County,Illinois - IL,"Chicago, IL (1600)"
60123,Elgin,847/224,Kane County,Illinois - IL,"Chicago, IL (1600)"
60124,Elgin,847,Kane County,Illinois - IL,"Chicago, IL (1600)"
60007,Elk Grove Village,847/224,Cook County,Illinois - IL,"Chicago, IL (1600)"
60009,Elk Grove Village,847/224,Cook County,Illinois - IL,"Chicago, IL (1600)"
60126,Elmhurst,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60707,Elmwood Park,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60632,Elsdon,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60421,Elwood,815/779,Will County,Illinois - IL,"Chicago, IL (1600)"
60621,Englewood,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60519,Eola,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60129,Esmond,815/779,DeKalb County,Illinois - IL,"Chicago, IL (1600)"
60201,Evanston,847/224,Cook County,Illinois - IL,"Chicago, IL (1600)"
60202,Evanston,847/224,Cook County,Illinois - IL,"Chicago, IL (1600)"
60203,Evanston,847/224,Cook County,Illinois - IL,"Chicago, IL (1600)"
60204,Evanston,847/224,Cook County,Illinois - IL,"Chicago, IL (1600)"
60208,Evanston,847/224,Cook County,Illinois - IL,"Chicago, IL (1600)"
60209,Evanston,847/224,Cook County,Illinois - IL,"Chicago, IL (1600)"
60805,Evergreen Park,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60146,Fairdale,815/779,DeKalb County,Illinois - IL,"Chicago, IL (1600)"
60689,Fifth Third Bank,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60696,Fleet,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60422,Flossmoor,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60148,Flowerfield,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60411,Ford Heights,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60047,Forest Lake,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60130,Forest Park,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60402,Forest View,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60638,Forest View,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60610,Fort Dearborn,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60611,Fort Dearborn,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60037,Fort Sheridan,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60020,Fox Lake,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60046,Fox Lake Hills,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60021,Fox River Grove,847/224,McHenry County,Illinois - IL,"Chicago, IL (1600)"
60021,Fox River Grv,847/224,McHenry County,Illinois - IL,"Chicago, IL (1600)"
60010,Fox River Valley Gardens,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60010,Fox Rv Vly Gn,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60572,Fox Valley,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60599,Fox Valley,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60599,Fox Valley Facility,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60423,Frankfort,815/779,Will County,Illinois - IL,"Chicago, IL (1600)"
60131,Franklin Park,847/224,Cook County,Illinois - IL,"Chicago, IL (1600)"
60030,Gages Lake,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60424,Gardner,815/779,Grundy County,Illinois - IL,"Chicago, IL (1600)"
60134,Geneva,630/331,Kane County,Illinois - IL,"Chicago, IL (1600)"
60135,Genoa,815/779,DeKalb County,Illinois - IL,"Chicago, IL (1600)"
60136,Gilberts,847/224,Kane County,Illinois - IL,"Chicago, IL (1600)"
60137,Glen Ellyn,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60138,Glen Ellyn,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60022,Glencoe,847/224,Cook County,Illinois - IL,"Chicago, IL (1600)"
60137,Glendale Heights,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60139,Glendale Heights,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60025,Glenview,847/224,Cook County,Illinois - IL,"Chicago, IL (1600)"
60026,Glenview,847/224,Cook County,Illinois - IL,"Chicago, IL (1600)"
60425,Glenwood,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60407,Godley,815/779,Grundy County,Illinois - IL,"Chicago, IL (1600)"
60029,Golf,847/224,Cook County,Illinois - IL,"Chicago, IL (1600)"
60401,Goodenow,708/464,Will County,Illinois - IL,"Chicago, IL (1600)"
60657,Graceland,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60619,Grand Crossing,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60030,Grayslake,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60088,Great Lakes,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60117,Great Lakes Area Office,708/464,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60044,Green Oaks,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60045,Green Oaks,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60048,Green Oaks,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60098,Greenwood,815/779,McHenry County,Illinois - IL,"Chicago, IL (1600)"
60031,Gurnee,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60030,Hainesville,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60073,Hainesville,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60069,Half Day,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60140,Hampshire,847/224,Kane County,Illinois - IL,"Chicago, IL (1600)"
60133,Hanover Park,630/331,Cook County,Illinois - IL,"Chicago, IL (1600)"
60694,Harris Bank,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60033,Harvard,815/779,McHenry County,Illinois - IL,"Chicago, IL (1600)"
60426,Harvey,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60428,Harvey,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60656,Harwood Heights,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
